@relation 'Absenteeism_at_work_A-weka.filters.unsupervised.attribute.Remove-R2-7,9,14-21-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates'

@attribute ID {31.0,27.0,19.0,30.0,7.0,20.0,24.0,32.0,3.0,33.0,26.0,29.0,18.0,25.0,17.0,14.0,16.0,23.0,2.0,21.0,36.0,15.0,22.0,5.0,12.0,9.0,6.0,34.0,10.0,28.0,13.0,11.0,1.0,4.0,8.0,35.0}
@attribute Service_time numeric
@attribute Work_load_Average/day_ numeric
@attribute Hit_target numeric
@attribute Disciplinary_failure {1.0,0.0}

@data
31.0,9,378884,92,1.0
36.0,18,378884,92,0.0
10.0,3,378884,92,0.0
24.0,16,377550,94,0.0
10.0,3,377550,94,0.0
15.0,12,377550,94,0.0
3.0,18,377550,94,0.0
14.0,14,377550,94,0.0
36.0,18,377550,94,0.0
1.0,14,377550,94,0.0
23.0,11,377550,94,0.0
32.0,29,377550,94,0.0
28.0,9,377550,94,0.0
14.0,14,275312,98,0.0
36.0,18,275312,98,0.0
34.0,10,275312,98,0.0
18.0,4,275312,98,0.0
22.0,9,275312,98,0.0
30.0,6,275312,98,0.0
10.0,3,275312,98,0.0
11.0,13,275312,98,0.0
3.0,18,275312,98,0.0
20.0,11,275312,98,1.0
11.0,13,265615,94,0.0
30.0,6,265615,94,0.0
9.0,16,265615,94,0.0
26.0,13,265615,94,0.0
20.0,11,265615,94,0.0
33.0,14,265615,94,0.0
21.0,8,265615,94,0.0
22.0,9,265615,94,0.0
36.0,18,265615,94,0.0
1.0,14,265615,94,0.0
10.0,3,265615,94,0.0
27.0,7,265615,94,0.0
3.0,18,294217,81,0.0
11.0,13,294217,81,0.0
5.0,13,294217,81,1.0
24.0,16,294217,81,0.0
15.0,12,294217,81,0.0
8.0,14,294217,81,1.0
19.0,12,294217,81,1.0
20.0,11,294217,81,0.0
5.0,13,294217,81,0.0
36.0,18,294217,81,0.0
11.0,13,265017,88,0.0
1.0,14,265017,88,0.0
36.0,18,265017,88,1.0
33.0,14,265017,88,1.0
22.0,9,265017,88,0.0
34.0,10,265017,88,0.0
13.0,12,265017,88,0.0
3.0,18,265017,88,0.0
5.0,13,265017,88,1.0
20.0,11,265017,88,0.0
5.0,13,265017,88,0.0
36.0,18,265017,88,0.0
15.0,12,265017,88,0.0
10.0,3,265017,88,0.0
20.0,11,265017,88,1.0
15.0,12,265017,88,1.0
30.0,6,265017,88,1.0
34.0,10,284031,97,0.0
33.0,14,284031,97,0.0
3.0,18,284031,97,0.0
20.0,11,284031,97,0.0
15.0,12,284031,97,0.0
23.0,11,284031,97,0.0
14.0,14,284031,97,0.0
5.0,13,284031,97,0.0
18.0,4,284031,97,1.0
1.0,14,284031,97,0.0
24.0,16,284031,97,0.0
23.0,11,284031,97,1.0
7.0,14,284031,97,1.0
28.0,9,236629,93,0.0
3.0,18,236629,93,0.0
1.0,14,236629,93,0.0
36.0,18,236629,93,0.0
20.0,11,236629,93,0.0
24.0,16,236629,93,0.0
22.0,9,236629,93,0.0
34.0,10,236629,93,0.0
5.0,13,236629,93,0.0
30.0,6,236629,93,0.0
11.0,13,236629,93,0.0
28.0,9,330061,100,0.0
34.0,10,330061,100,0.0
14.0,14,330061,100,0.0
1.0,14,330061,100,0.0
11.0,13,330061,100,0.0
15.0,12,330061,100,0.0
5.0,13,330061,100,0.0
36.0,18,330061,100,0.0
3.0,18,330061,100,0.0
34.0,10,251818,96,0.0
3.0,18,251818,96,0.0
28.0,9,251818,96,0.0
11.0,13,251818,96,0.0
20.0,11,251818,96,0.0
24.0,16,251818,96,0.0
6.0,13,251818,96,0.0
15.0,12,251818,96,0.0
30.0,6,251818,96,0.0
34.0,10,244387,98,0.0
24.0,16,244387,98,0.0
20.0,11,244387,98,0.0
3.0,18,244387,98,0.0
1.0,14,244387,98,0.0
17.0,17,244387,98,0.0
23.0,11,244387,98,0.0
10.0,3,244387,98,0.0
13.0,12,244387,98,1.0
36.0,18,244387,98,0.0
1.0,14,244387,98,1.0
24.0,16,244387,98,1.0
36.0,18,244387,98,1.0
11.0,13,244387,98,0.0
3.0,18,239409,98,0.0
20.0,11,239409,98,0.0
18.0,4,239409,98,0.0
13.0,12,239409,98,0.0
33.0,14,239409,98,0.0
36.0,18,239409,98,0.0
26.0,13,239409,98,0.0
34.0,10,239409,98,0.0
5.0,13,246074,99,0.0
33.0,14,246074,99,0.0
13.0,12,246074,99,0.0
22.0,9,246074,99,0.0
3.0,18,246074,99,0.0
10.0,3,246074,99,0.0
20.0,11,246074,99,0.0
17.0,17,246074,99,0.0
9.0,16,246074,99,0.0
28.0,9,246074,99,0.0
18.0,4,246074,99,0.0
34.0,10,246074,99,0.0
1.0,14,246074,99,0.0
34.0,10,253957,95,0.0
3.0,18,253957,95,0.0
28.0,9,253957,95,0.0
20.0,11,253957,95,0.0
3.0,18,253957,95,1.0
15.0,12,253957,95,0.0
24.0,16,253957,95,0.0
5.0,13,253957,95,0.0
36.0,18,253957,95,0.0
22.0,9,253957,95,0.0
18.0,4,253957,95,0.0
1.0,14,253957,95,0.0
22.0,9,230290,92,0.0
28.0,9,230290,92,0.0
20.0,11,230290,92,0.0
21.0,8,230290,92,0.0
18.0,4,230290,92,0.0
34.0,10,230290,92,0.0
26.0,13,230290,92,0.0
2.0,12,230290,92,0.0
24.0,16,230290,92,0.0
3.0,18,230290,92,0.0
36.0,18,230290,92,0.0
10.0,3,230290,92,0.0
11.0,13,230290,92,0.0
5.0,13,230290,92,0.0
15.0,12,230290,92,0.0
7.0,14,230290,92,0.0
3.0,18,249797,93,0.0
17.0,17,249797,93,0.0
24.0,16,249797,93,0.0
34.0,10,249797,93,0.0
11.0,13,249797,93,0.0
5.0,13,249797,93,0.0
15.0,12,249797,93,0.0
18.0,4,249797,93,0.0
1.0,14,249797,93,0.0
20.0,11,249797,93,0.0
24.0,16,261756,87,0.0
34.0,10,261756,87,0.0
14.0,14,261756,87,0.0
15.0,12,261756,87,0.0
22.0,9,261756,87,0.0
33.0,14,261756,87,0.0
3.0,18,261756,87,0.0
28.0,9,261756,87,0.0
13.0,12,261756,87,0.0
10.0,3,261756,87,0.0
32.0,29,284853,91,0.0
25.0,8,284853,91,0.0
24.0,16,284853,91,0.0
15.0,12,284853,91,0.0
34.0,10,284853,91,0.0
28.0,9,284853,91,0.0
13.0,12,284853,91,0.0
3.0,18,284853,91,0.0
9.0,16,284853,91,0.0
6.0,13,284853,91,0.0
33.0,14,284853,91,0.0
28.0,9,284853,91,1.0
3.0,18,268519,93,0.0
34.0,10,268519,93,0.0
18.0,4,268519,93,0.0
11.0,13,268519,93,0.0
25.0,8,268519,93,0.0
28.0,9,268519,93,0.0
10.0,3,268519,93,0.0
15.0,12,268519,93,0.0
15.0,12,268519,93,1.0
11.0,13,268519,93,1.0
33.0,14,268519,93,0.0
5.0,13,268519,93,1.0
13.0,12,268519,93,0.0
3.0,18,280549,98,0.0
15.0,12,280549,98,0.0
28.0,9,280549,98,0.0
22.0,9,280549,98,0.0
10.0,3,280549,98,0.0
17.0,17,280549,98,0.0
5.0,13,280549,98,0.0
12.0,1,280549,98,0.0
14.0,14,280549,98,0.0
22.0,9,313532,96,0.0
17.0,17,313532,96,0.0
32.0,29,313532,96,0.0
14.0,14,313532,96,0.0
3.0,18,313532,96,0.0
11.0,13,313532,96,0.0
3.0,18,264249,97,0.0
28.0,9,264249,97,0.0
33.0,14,264249,97,0.0
22.0,9,264249,97,0.0
29.0,15,264249,97,0.0
12.0,1,264249,97,0.0
17.0,17,264249,97,0.0
14.0,14,264249,97,0.0
25.0,8,264249,97,0.0
3.0,18,222196,99,0.0
33.0,14,222196,99,0.0
9.0,16,222196,99,0.0
28.0,9,222196,99,0.0
22.0,9,222196,99,0.0
25.0,8,222196,99,0.0
10.0,3,222196,99,0.0
11.0,13,222196,99,0.0
16.0,24,222196,99,0.0
14.0,14,222196,99,0.0
13.0,12,222196,99,0.0
28.0,9,246288,91,0.0
34.0,10,246288,91,0.0
10.0,3,246288,91,0.0
33.0,14,246288,91,0.0
6.0,13,246288,91,0.0
22.0,9,246288,91,0.0
13.0,12,246288,91,0.0
17.0,17,246288,91,0.0
36.0,18,246288,91,0.0
1.0,14,246288,91,0.0
25.0,8,246288,91,0.0
14.0,14,246288,91,0.0
1.0,14,237656,99,0.0
29.0,15,237656,99,0.0
25.0,8,237656,99,0.0
34.0,10,237656,99,0.0
5.0,13,237656,99,0.0
22.0,9,237656,99,0.0
15.0,12,237656,99,0.0
26.0,13,237656,99,0.0
36.0,18,237656,99,0.0
36.0,18,237656,99,1.0
23.0,11,237656,99,1.0
17.0,17,237656,99,0.0
14.0,14,237656,99,0.0
28.0,9,237656,99,0.0
18.0,4,237656,99,0.0
10.0,3,237656,99,0.0
16.0,24,275089,96,0.0
22.0,9,275089,96,0.0
34.0,10,275089,96,0.0
23.0,11,275089,96,0.0
36.0,18,275089,96,0.0
12.0,1,275089,96,0.0
2.0,12,275089,96,1.0
21.0,8,275089,96,1.0
15.0,12,275089,96,0.0
5.0,13,264604,93,0.0
12.0,1,264604,93,0.0
9.0,16,264604,93,0.0
34.0,10,264604,93,0.0
6.0,13,264604,93,0.0
10.0,3,264604,93,0.0
28.0,9,264604,93,0.0
13.0,12,264604,93,0.0
11.0,13,264604,93,0.0
1.0,14,264604,93,0.0
4.0,13,271219,95,0.0
8.0,14,271219,95,0.0
35.0,14,271219,95,0.0
